Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
104,Entry long,2012-11-09 15:30,Normal,0.37,28613,10586.81,-858.39,-8.11,0,286.13,2.70,-858.39,-8.11,-271.57,-2.72,25
105,Exit long,2012-11-19 15:30,Normal,0.35,29480,9728.4,589.6,6.06,0,589.6,6.06,-589.6,-6.06,318.03,3.18,11
105,Entry long,2012-11-15 18:30,Normal,0.33,29480,9728.4,589.6,6.06,0,589.6,6.06,-589.6,-6.06,318.03,3.18,11
106,Exit long,2012-11-29 15:30,Normal,0.39,27886,10317.82,557.72,5.41,0,557.72,5.41,0,0.00,875.75,8.76,5
106,Entry long,2012-11-28 17:30,Normal,0.37,27886,10317.82,557.72,5.41,0,557.72,5.41,0,0.00,875.75,8.76,5
107,Exit long,2012-12-07 15:30,Normal,0.4,28620,10875.6,572.4,5.26,0,572.4,5.26,-286.2,-2.63,1448.15,14.48,32
107,Entry long,2012-11-30 15:30,Normal,0.38,28620,10875.6,572.4,5.26,0,572.4,5.26,-286.2,-2.63,1448.15,14.48,32
108,Exit long,2012-12-14 20:30,Normal,0.39,26623,11447.89,-1064.92,-9.30,0,0,0.00,-1064.92,-9.30,383.23,3.83,16
108,Entry long,2012-12-12 18:30,Normal,0.43,26623,11447.89,-1064.92,-9.30,0,0,0.00,-1064.92,-9.30,383.23,3.83,16
109,Exit long,2012-12-18 15:30,Normal,0.42,25958,10383.2,519.16,5.00,0,519.16,5.00,0,0.00,902.39,9.02,7
109,Entry long,2012-12-17 15:30,Normal,0.4,25958,10383.2,519.16,5.00,0,519.16,5.00,0,0.00,902.39,9.02,7
110,Exit long,2012-12-21 15:30,Normal,0.39,25354,10902.22,-1014.16,-9.30,0,0,0.00,-1014.16,-9.30,-111.77,-1.12,1
110,Entry long,2012-12-20 21:30,Normal,0.43,25354,10902.22,-1014.16,-9.30,0,0,0.00,-1014.16,-9.30,-111.77,-1.12,1
111,Exit long,2012-12-31 20:30,Normal,0.41,24720,9888,247.2,2.50,0,247.2,2.50,-247.2,-2.50,135.43,1.35,13
111,Entry long,2012-12-27 21:30,Normal,0.4,24720,9888,247.2,2.50,0,247.2,2.50,-247.2,-2.50,135.43,1.35,13
112,Exit long,2013-01-10 15:30,Normal,0.46,23035,10135.4,460.7,4.55,0,460.7,4.55,-230.35,-2.27,596.13,5.96,10
112,Entry long,2013-01-08 19:30,Normal,0.44,23035,10135.4,460.7,4.55,0,460.7,4.55,-230.35,-2.27,596.13,5.96,10
113,Exit long,2013-01-25 15:30,Normal,0.52,21192,10596,423.84,4.00,0,423.84,4.00,-423.84,-4.00,1019.97,10.20,11
113,Entry long,2013-01-23 17:30,Normal,0.5,21192,10596,423.84,4.00,0,423.84,4.00,-423.84,-4.00,1019.97,10.20,11
